url,primary_query,secondary_queries,title_tag,meta_description,h1,notes
/,CounterCtrl Cloud,"dcr pos analytics, grocery reporting platform","CounterCtrl Cloud — Grocery & Retail Analytics by DCR POS","Turn overnight POS data into a short list worth looking at. Sales, loss prevention, margin and item performance for single stores through corporate banners.","Transaction data, turned into a short list worth looking at.","Marketing home. NOT the login page."
/login,,,"Sign in — CounterCtrl Cloud","Sign in to CounterCtrl Cloud.","Sign in to your account","Add <meta name=""robots"" content=""noindex,follow"">"
/grocery-analytics,grocery analytics software,"supermarket sales reporting software, grocery store reporting","Grocery Analytics Software for Multi-Store Operators | CounterCtrl Cloud","Nightly sales, margin and item movement graded across every location. Built by a POS company that has supported grocers for decades.","Grocery analytics that tells you what needs attention","Money page. Add FAQPage JSON-LD."
/loss-prevention,grocery loss prevention analytics,"exception reporting grocery, shrink analytics supermarket","Grocery Loss Prevention Analytics & Exception Reporting | CounterCtrl Cloud","Exception reports that rank by exposure instead of listing everything. Void, refund, discount and no-sale patterns across every register.","Loss prevention that ranks by exposure, not volume","Money page. Link to the Exception Report post."
/mobile,store manager reporting app,"grocery mobile reporting, retail manager app","Store Manager Reporting App | CounterCtrl Cloud Mobile","Yesterday's numbers on the floor, not at the back-office PC. Sales, margin and exceptions scoped to the store or department you run.","Your numbers, on the floor","Ties to existing mobile/Coupons Mobile work."
/platform,retail data warehouse pipeline,"pos data pipeline, retail data ingestion","Retail Data Warehouse & POS Data Pipeline | CounterCtrl Cloud","How CounterCtrl ingests, normalises and validates POS transaction data nightly — per-client isolation, one set of definitions, reconciled before go-live.","How the data gets there, and why it reconciles","Credibility page for prospects' IT. Low lead volume by design."
/blog/,grocery retail data analytics blog,"grocery analytics articles","Field Notes — Grocery & Retail Data Analytics | CounterCtrl Cloud","Practical writing on grocery analytics, loss prevention, multi-store reporting and turning POS data into decisions.","Field Notes","Generated by scripts/build-blog.mjs"
/blog/{slug}/,long-tail per post,,"{Post title} — CounterCtrl Cloud","{Post dek, 155 chars}","{Post title}","17 pages. Generated. BlogPosting JSON-LD included."
/walkthrough,,,"Book a Walkthrough — CounterCtrl Cloud","See CounterCtrl Cloud on your own numbers. Book a walkthrough with the DCR team.","Book a walkthrough","Conversion page. Real form endpoint required."
/support,,,"Support — CounterCtrl Cloud","Get help with CounterCtrl Cloud. Staffed Monday to Friday with on-call cover for overnight load issues.","Contact support","Conversion/retention page."
